Network,TSC (unpriced),TSC (first-best),TSC (cordon),First-best gap closed by cordon
Grid,585.2233563025288,521.2326662594614,579.1185433195805,0.09540158074306868
Hub-and-spoke,739.0565411028721,681.7156165887011,718.5699829541554,0.3572763837048651
Core-periphery,370.25583097416484,352.9021536291447,366.9092290861671,0.19284684285997114
