Network,Pricing,Car share,Transit share
Grid,Unpriced,0.8004359841622128,0.19956401583778713
Grid,First-best,0.69352619937138,0.30647380062862
Grid,Cordon,0.7736083627241163,0.22639163727588366
Hub-and-spoke,Unpriced,0.7004572519075201,0.29954274809247994
Hub-and-spoke,First-best,0.45232483308228466,0.5476751669177153
Hub-and-spoke,Cordon,0.6467617266006946,0.35323827339930536
Core-periphery,Unpriced,0.9106896056446799,0.08931039435531998
Core-periphery,First-best,0.8469200659674835,0.15307993403251652
Core-periphery,Cordon,0.894112474681979,0.10588752531802093
