Network,TSC (unpriced),TSC (first-best),TSC (cordon),First-best gap closed by cordon
Grid,507.3897294730863,478.59753410319325,501.0166382339667,0.2213478742153742
Hub-and-spoke,669.0967072992106,652.4551626253408,657.5662526354918,0.6928716588324704
Core-periphery,301.1575382817223,296.04170125832496,297.46314616264976,0.7221481259422824
