Network,Pricing,Car share,Transit share
Grid,Unpriced,0.6966067390735334,0.3033932609264666
Grid,First-best,0.646111602604832,0.35388839739516786
Grid,Cordon,0.6766269569490018,0.32337304305099823
Hub-and-spoke,Unpriced,0.7221918023769058,0.2778081976230943
Hub-and-spoke,First-best,0.32849477814208994,0.6715052218579101
Hub-and-spoke,Cordon,0.6435078245392085,0.3564921754607915
Core-periphery,Unpriced,0.832681738172762,0.16731826182723783
Core-periphery,First-best,0.7343352963243343,0.26566470367566575
Core-periphery,Cordon,0.7984680197359046,0.2015319802640953
