Network,Pricing,Car share,Transit share
Grid,Unpriced,0.880400808805785,0.11959919119421494
Grid,First-best,0.7628226810055535,0.23717731899444663
Grid,Cordon,0.8634347629040753,0.13656523709592472
Hub-and-spoke,Unpriced,0.7215023568427462,0.2784976431572538
Hub-and-spoke,First-best,0.5167532882467694,0.4832467117532307
Hub-and-spoke,Cordon,0.6757540921178664,0.32424590788213353
Core-periphery,Unpriced,0.9586267707531059,0.041373229246894155
Core-periphery,First-best,0.9259459326327835,0.07405406736721651
Core-periphery,Cordon,0.9523904203474831,0.04760957965251677
