Network,TSC (unpriced),TSC (first-best),TSC (cordon),First-best gap closed by cordon
Grid,473.51092634991016,462.230214944585,469.50947398136793,0.35471631395988945
Hub-and-spoke,646.3786695152044,665.9956773155723,638.7758669163167,-0.387561787009389
Core-periphery,259.3677653713938,261.19964555347,255.67155678166318,-2.01771307200961
